index,dataset,prompt,iou,dice,precision,recall,gt_coverage
331,drywall,segment taping area,0.890459,0.942056,0.960417,0.924383,17.30
335,drywall,segment taping area,0.891801,0.942806,0.899848,0.990071,15.22
294,drywall,segment taping area,0.893133,0.943550,0.943004,0.944097,12.01
247,drywall,segment taping area,0.894032,0.944051,0.982699,0.908328,31.11
1,drywall,segment taping area,0.902094,0.948527,0.947185,0.949873,51.97
255,drywall,segment taping area,0.908085,0.951829,0.971092,0.933315,54.37
151,drywall,segment taping area,0.912241,0.954107,0.936660,0.972216,18.26
60,drywall,segment taping area,0.916789,0.956588,0.929239,0.985597,9.73
51,drywall,segment taping area,0.922231,0.959542,0.933275,0.987330,30.85
385,drywall,segment taping area,0.930699,0.964106,0.956580,0.971750,47.03
